,agapostemon texanus,andrena ceanothi,andrena cressonii cressonii,andrena distans,andrena rufosignata,andrena wilkella,andrena w-scripta,andrena ziziae,apis mellifera,calliopsis andreniformis,calliopsis nebraskensis,eucera hamata,halictus ligatus,halictus parallelus,heriades leavitti,lasioglossum morph 31,lasioglossum morph 5,megachile campanulae,nomada articula,nomada imbricata,nomia universitalis
achmil,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
capbur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eri sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
helhel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
medlup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meloff,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
passat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phatan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pol sp,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
trihyb,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tripra,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
trirep,1,4,46,3,1,1,0,0,0,2,1,0,1,1,1,0,1,1,3,1,1
zizaur,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0
meloff,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
tripra,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
