,agapostemon virescens,andrena ceanothi,andrena cressonii cressonii,andrena ziziae,apis mellifera,augochlorella aurata,bombus griseocollis,halictus confusus,halictus ligatus,hylaeus annulatus,hylaeus fedorica,lasioglossum morph 10,lasioglossum morph 11,lasioglossum morph 14,lasioglossum morph 31,lasioglossum morph 5,megachile brevis,nomada lehighensis
ama sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medfal,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
medlup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oxa sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
passat,0,0,0,2,0,0,0,0,0,1,0,0,1,1,1,0,0,0
poa sp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ros sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taroff,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
trihyb,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tripra,1,1,18,1,5,1,1,1,0,0,0,0,0,0,0,1,0,0
trirep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zizaur,0,0,4,29,3,0,0,1,2,2,1,1,1,0,3,2,0,1
