,andrena rudbeckiae,anthophorula compactula,bombus auricomus,bombus griseocollis,bombus impatiens,halictus confusus,halictus ligatus,hylaeus affinis,hylaeus annulatus,lasioglossum morph 1,lasioglossum morph 10,lasioglossum morph 13,lasioglossum morph 15,lasioglossum morph 26,lasioglossum morph 31,lasioglossum morph 5,melissodes bimaculatus,melissodes niveus,melissodes trinodis
asc sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cirarv,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dalpur,0,1,0,0,0,0,0,0,0,1,3,0,0,1,0,5,0,0,0
descan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eryyuc,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0
eupcor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
harasser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
helhel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lacser,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
melalb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
monfis,1,0,1,7,5,1,1,0,0,1,0,0,1,0,0,0,1,0,0
phyvir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ratpin,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,2
rud sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sillac,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
taroff,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
tripra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
