,agapostemon texanus,agapostemon virescens,andrena rudbeckiae,apis mellifera,augochlorella aurata,bombus auricomus,bombus bimaculatus,bombus griseocollis,bombus impatiens,calliopsis andreniformis,halictus ligatus,hylaeus affinis,hylaeus mesillae,lasioglossum morph 10,lasioglossum morph 9,megachile addenda,megachile brevis,megachile latimanus,melissodes bimaculatus,melissodes subillatus,nomada erigeronis
asc sp,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bapalb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cirarv,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
dalcan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dalpur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
echpal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eryyuc,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
eupcor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
helhel,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
monfis,0,0,0,4,4,1,7,7,2,0,2,0,0,1,0,1,0,1,1,0,0
passat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pot sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pycten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ratpin,0,0,8,1,1,0,0,2,0,0,34,0,0,0,1,0,1,2,0,0,0
rud sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ruehum,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trirep,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
vervir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
